,AD_MAG_1,AD_MAG_2,Similarity
42202,11A_II_BM_out.10.fa,13A_III_BM_out.157.fa,99.7804
42206,11A_II_BM_out.10.fa,2AD43II_FD_BM_out.20.fa,99.2696
42207,11A_II_BM_out.10.fa,2AD48II_FD_BM_out.76.fa,99.2299
42203,11A_II_BM_out.10.fa,2AD61I_FD_BM_out.33.fa,99.7059
42204,11A_II_BM_out.10.fa,7A_III_BM_out.90.fa,99.6561
42201,11A_II_BM_out.10.fa,8A_II_BM_out.191.fa,99.837
42199,11A_II_BM_out.10.fa,AD118III_FD_BM_out.157.fa,99.8961
42209,11A_II_BM_out.10.fa,AD121II_FD_BM_out.69.fa,99.0963
42208,11A_II_BM_out.10.fa,AD138III_FD_BM_out.98.fa,99.2205
42205,11A_II_BM_out.10.fa,AD143II_FD_BM_out.94.fa,99.3557
42200,11A_II_BM_out.10.fa,AD148III_FD_BM_out.56.fa,99.8885
42198,11A_II_BM_out.10.fa,AD152III_FD_BM_out.134.fa,99.9013
42733,11A_II_BM_out.100.fa,13A_III_BM_out.95.fa,99.5922
42734,11A_II_BM_out.100.fa,15A_II_BM_out.221.fa,99.5365
42735,11A_II_BM_out.100.fa,17A_III_BM_out.108.fa,99.4993
42731,11A_II_BM_out.100.fa,6A_II_BM_out.143.fa,99.7952
42732,11A_II_BM_out.100.fa,7A_III_BM_out.156.fa,99.7639
42730,11A_II_BM_out.100.fa,8A_II_BM_out.38.fa,99.9386
42149,11A_II_BM_out.104.fa,13A_III_BM_out.15.fa,99.6009
42156,11A_II_BM_out.104.fa,15A_II_BM_out.150.fa,99.527
42155,11A_II_BM_out.104.fa,17A_III_BM_out.107.fa,99.5297
42154,11A_II_BM_out.104.fa,2AD43II_FD_BM_out.69.fa,99.5498
42153,11A_II_BM_out.104.fa,2AD48II_FD_BM_out.61.fa,99.5629
42138,11A_II_BM_out.104.fa,2AD57I_FD_BM_out.77.fa,99.7485
42139,11A_II_BM_out.104.fa,2AD61I_FD_BM_out.19.fa,99.6945
42151,11A_II_BM_out.104.fa,6A_II_BM_out.85.fa,99.5777
42152,11A_II_BM_out.104.fa,7A_III_BM_out.125.fa,99.5768
42140,11A_II_BM_out.104.fa,8A_II_BM_out.57.fa,99.6634
42146,11A_II_BM_out.104.fa,9A_II_BM_out.48.fa,99.6057
42142,11A_II_BM_out.104.fa,AD118III_FD_BM_out.39.fa,99.6418
42150,11A_II_BM_out.104.fa,AD121II_FD_BM_out.77.fa,99.5997
42148,11A_II_BM_out.104.fa,AD126III_FD_BM_out.19.fa,99.6012
42141,11A_II_BM_out.104.fa,AD128I_FD_BM_out.84.fa,99.6487
42145,11A_II_BM_out.104.fa,AD132III_FD_BM_out.90.fa,99.6147
42157,11A_II_BM_out.104.fa,AD138III_FD_BM_out.67.fa,99.2213
42147,11A_II_BM_out.104.fa,AD143II_FD_BM_out.15.fa,99.6034
42144,11A_II_BM_out.104.fa,AD148III_FD_BM_out.18.fa,99.6385
42143,11A_II_BM_out.104.fa,AD152III_FD_BM_out.7.fa,99.6401
42178,11A_II_BM_out.105.fa,13A_III_BM_out.202.fa,99.4518
42179,11A_II_BM_out.105.fa,15A_II_BM_out.189.fa,99.4454
42177,11A_II_BM_out.105.fa,17A_III_BM_out.270.fa,99.5429
42182,11A_II_BM_out.105.fa,6A_II_BM_out.155.fa,99.079
42181,11A_II_BM_out.105.fa,7A_III_BM_out.103.fa,99.1785
42184,11A_II_BM_out.105.fa,8A_II_BM_out.98.fa,98.2665
42183,11A_II_BM_out.105.fa,9A_II_BM_out.115.fa,98.666
42185,11A_II_BM_out.105.fa,AD118III_FD_BM_out.61.fa,98.1823
42186,11A_II_BM_out.105.fa,AD143II_FD_BM_out.47.fa,98.0533
42180,11A_II_BM_out.105.fa,AD152III_FD_BM_out.123.fa,99.3385
41860,11A_II_BM_out.107.fa,13A_III_BM_out.219.fa,99.3421
41859,11A_II_BM_out.107.fa,15A_II_BM_out.36.fa,99.3594
41863,11A_II_BM_out.107.fa,17A_III_BM_out.133.fa,99.2778
41851,11A_II_BM_out.107.fa,2AD43II_FD_BM_out.84.fa,99.5132
41850,11A_II_BM_out.107.fa,2AD48II_FD_BM_out.32.fa,99.5163
41866,11A_II_BM_out.107.fa,2AD52I_FD_BM_out.40.fa,98.7938
41857,11A_II_BM_out.107.fa,2AD57I_FD_BM_out.36.fa,99.3967
41855,11A_II_BM_out.107.fa,6A_II_BM_out.198.fa,99.4242
41864,11A_II_BM_out.107.fa,7A_III_BM_out.178.fa,99.2334
41861,11A_II_BM_out.107.fa,8A_II_BM_out.183.fa,99.3128
41854,11A_II_BM_out.107.fa,9A_II_BM_out.6.fa,99.4269
41853,11A_II_BM_out.107.fa,AD118III_FD_BM_out.80.fa,99.4342
41865,11A_II_BM_out.107.fa,AD121II_FD_BM_out.90.fa,99.0972
41852,11A_II_BM_out.107.fa,AD126III_FD_BM_out.44.fa,99.4558
41849,11A_II_BM_out.107.fa,AD128I_FD_BM_out.34.fa,99.5493
41858,11A_II_BM_out.107.fa,AD132III_FD_BM_out.123.fa,99.3608
41848,11A_II_BM_out.107.fa,AD143II_FD_BM_out.2.fa,99.5796
41856,11A_II_BM_out.107.fa,AD148III_FD_BM_out.49.fa,99.3993
41862,11A_II_BM_out.107.fa,AD152III_FD_BM_out.84.fa,99.303
40990,11A_II_BM_out.108.fa,13A_III_BM_out.152.fa,99.7351
40992,11A_II_BM_out.108.fa,15A_II_BM_out.166.fa,99.6804
40991,11A_II_BM_out.108.fa,17A_III_BM_out.83.fa,99.7189
40995,11A_II_BM_out.108.fa,6A_II_BM_out.29.fa,99.6007
40994,11A_II_BM_out.108.fa,7A_III_BM_out.2.fa,99.6181
40993,11A_II_BM_out.108.fa,8A_II_BM_out.30.fa,99.6719
40996,11A_II_BM_out.108.fa,9A_II_BM_out.3.fa,99.5091
40997,11A_II_BM_out.108.fa,AD132III_FD_BM_out.103.fa,98.7295
40998,11A_II_BM_out.108.fa,AD148III_FD_BM_out.58.fa,98.6028
40869,11A_II_BM_out.109.fa,13A_III_BM_out.16.fa,99.5101
40874,11A_II_BM_out.109.fa,15A_II_BM_out.41.fa,99.4306
40870,11A_II_BM_out.109.fa,17A_III_BM_out.96.fa,99.5037
40876,11A_II_BM_out.109.fa,2AD43II_FD_BM_out.87.fa,99.3672
40877,11A_II_BM_out.109.fa,2AD48II_FD_BM_out.74.fa,99.2884
40871,11A_II_BM_out.109.fa,2AD57I_FD_BM_out.96.fa,99.4799
40867,11A_II_BM_out.109.fa,2AD61I_FD_BM_out.103.fa,99.5279
40862,11A_II_BM_out.109.fa,6A_II_BM_out.162.fa,99.5751
40872,11A_II_BM_out.109.fa,7A_III_BM_out.160.fa,99.466
40868,11A_II_BM_out.109.fa,8A_II_BM_out.113.fa,99.5137
40865,11A_II_BM_out.109.fa,9A_II_BM_out.106.fa,99.5348
40861,11A_II_BM_out.109.fa,AD118III_FD_BM_out.8.fa,99.5855
40866,11A_II_BM_out.109.fa,AD121II_FD_BM_out.91.fa,99.5286
40875,11A_II_BM_out.109.fa,AD126III_FD_BM_out.27.fa,99.3909
40878,11A_II_BM_out.109.fa,AD128I_FD_BM_out.87.fa,99.2074
40863,11A_II_BM_out.109.fa,AD132III_FD_BM_out.45.fa,99.5745
40864,11A_II_BM_out.109.fa,AD138III_FD_BM_out.37.fa,99.5518
40873,11A_II_BM_out.109.fa,AD148III_FD_BM_out.75.fa,99.4426
40879,11A_II_BM_out.109.fa,AD152III_FD_BM_out.110.fa,98.3528
41831,11A_II_BM_out.110.fa,13A_III_BM_out.14.fa,96.7663
41827,11A_II_BM_out.110.fa,15A_II_BM_out.80.fa,97.5886
41833,11A_II_BM_out.110.fa,17A_III_BM_out.88.fa,96.5666
41824,11A_II_BM_out.110.fa,2AD43II_FD_BM_out.23.fa,97.8139
41818,11A_II_BM_out.110.fa,2AD48II_FD_BM_out.93.fa,98.1413
41823,11A_II_BM_out.110.fa,2AD57I_FD_BM_out.57.fa,97.841
41830,11A_II_BM_out.110.fa,2AD61I_FD_BM_out.118.fa,97.3918
41822,11A_II_BM_out.110.fa,6A_II_BM_out.107.fa,97.8612
41826,11A_II_BM_out.110.fa,7A_III_BM_out.76.fa,97.5904
