"","AD_MAG_1","AD_MAG_2","JaccardIndex"
"2755715","11A_II_BM_out.10.fa","AD118III_FD_BM_out.157.fa",0.832
"3854409","11A_II_BM_out.10.fa","AD152III_FD_BM_out.134.fa",0.83
"3754709","11A_II_BM_out.10.fa","AD148III_FD_BM_out.56.fa",0.788
"313065","11A_II_BM_out.10.fa","13A_III_BM_out.157.fa",0.78
"2323017","11A_II_BM_out.10.fa","8A_II_BM_out.191.fa",0.758
"1597201","11A_II_BM_out.10.fa","2AD61I_FD_BM_out.33.fa",0.736
"3666973","11A_II_BM_out.10.fa","AD138III_FD_BM_out.98.fa",0.692
"1314053","11A_II_BM_out.10.fa","2AD48II_FD_BM_out.76.fa",0.662
"1124623","11A_II_BM_out.10.fa","2AD43II_FD_BM_out.20.fa",0.63
"2963091","11A_II_BM_out.10.fa","AD121II_FD_BM_out.69.fa",0.596
"2195401","11A_II_BM_out.10.fa","7A_III_BM_out.90.fa",0.386
"3537363","11A_II_BM_out.10.fa","AD143II_FD_BM_out.94.fa",0.384
"2386819","11A_II_BM_out.100.fa","8A_II_BM_out.38.fa",0.812
"1750733","11A_II_BM_out.100.fa","6A_II_BM_out.143.fa",0.738
"518441","11A_II_BM_out.100.fa","13A_III_BM_out.95.fa",0.692
"2019923","11A_II_BM_out.100.fa","7A_III_BM_out.156.fa",0.682
"791619","11A_II_BM_out.100.fa","17A_III_BM_out.108.fa",0.602
"677961","11A_II_BM_out.100.fa","15A_II_BM_out.221.fa",0.51
"1982038","11A_II_BM_out.104.fa","7A_III_BM_out.125.fa",0.798
"3252216","11A_II_BM_out.104.fa","AD128I_FD_BM_out.84.fa",0.792
"2412742","11A_II_BM_out.104.fa","8A_II_BM_out.57.fa",0.786
"1292114","11A_II_BM_out.104.fa","2AD48II_FD_BM_out.61.fa",0.782
"3940146","11A_II_BM_out.104.fa","AD152III_FD_BM_out.7.fa",0.78
"1509460","11A_II_BM_out.104.fa","2AD57I_FD_BM_out.77.fa",0.778
"1916236","11A_II_BM_out.104.fa","6A_II_BM_out.85.fa",0.772
"3024900","11A_II_BM_out.104.fa","AD126III_FD_BM_out.19.fa",0.772
"319042","11A_II_BM_out.104.fa","13A_III_BM_out.15.fa",0.766
"2632082","11A_II_BM_out.104.fa","9A_II_BM_out.48.fa",0.766
"3708842","11A_II_BM_out.104.fa","AD148III_FD_BM_out.18.fa",0.766
"594214","11A_II_BM_out.104.fa","15A_II_BM_out.150.fa",0.764
"1581244","11A_II_BM_out.104.fa","2AD61I_FD_BM_out.19.fa",0.764
"789626","11A_II_BM_out.104.fa","17A_III_BM_out.107.fa",0.756
"2973056","11A_II_BM_out.104.fa","AD121II_FD_BM_out.77.fa",0.756
"1192414","11A_II_BM_out.104.fa","2AD43II_FD_BM_out.69.fa",0.754
"3415724","11A_II_BM_out.104.fa","AD132III_FD_BM_out.90.fa",0.748
"2787614","11A_II_BM_out.104.fa","AD118III_FD_BM_out.39.fa",0.746
"3439652","11A_II_BM_out.104.fa","AD143II_FD_BM_out.15.fa",0.744
"3629082","11A_II_BM_out.104.fa","AD138III_FD_BM_out.67.fa",0.694
"374875","11A_II_BM_out.105.fa","13A_III_BM_out.202.fa",0.698
"632101","11A_II_BM_out.105.fa","15A_II_BM_out.189.fa",0.696
"997003","11A_II_BM_out.105.fa","17A_III_BM_out.270.fa",0.686
"1762699","11A_II_BM_out.105.fa","6A_II_BM_out.155.fa",0.668
"3844435","11A_II_BM_out.105.fa","AD152III_FD_BM_out.123.fa",0.656
"1944153","11A_II_BM_out.105.fa","7A_III_BM_out.103.fa",0.65
"2496491","11A_II_BM_out.105.fa","9A_II_BM_out.115.fa",0.548
"2468575","11A_II_BM_out.105.fa","8A_II_BM_out.98.fa",0.49
"3477539","11A_II_BM_out.105.fa","AD143II_FD_BM_out.47.fa",0.462
"2817525","11A_II_BM_out.105.fa","AD118III_FD_BM_out.61.fa",0.396
"715850","11A_II_BM_out.107.fa","15A_II_BM_out.36.fa",0.716
"3948124","11A_II_BM_out.107.fa","AD152III_FD_BM_out.84.fa",0.71
"3180434","11A_II_BM_out.107.fa","AD128I_FD_BM_out.34.fa",0.7
"398804","11A_II_BM_out.107.fa","13A_III_BM_out.219.fa",0.696
"1256224","11A_II_BM_out.107.fa","2AD48II_FD_BM_out.32.fa",0.692
"3453612","11A_II_BM_out.107.fa","AD143II_FD_BM_out.2.fa",0.69
"2660000","11A_II_BM_out.107.fa","9A_II_BM_out.6.fa",0.678
"1212356","11A_II_BM_out.107.fa","2AD43II_FD_BM_out.84.fa",0.672
"1802580","11A_II_BM_out.107.fa","6A_II_BM_out.198.fa",0.67
"2311050","11A_II_BM_out.107.fa","8A_II_BM_out.183.fa",0.666
"819538","11A_II_BM_out.107.fa","17A_III_BM_out.133.fa",0.652
"2049836","11A_II_BM_out.107.fa","7A_III_BM_out.178.fa",0.646
"2989010","11A_II_BM_out.107.fa","AD121II_FD_BM_out.90.fa",0.61
"1449642","11A_II_BM_out.107.fa","2AD57I_FD_BM_out.36.fa",0.606
"2843448","11A_II_BM_out.107.fa","AD118III_FD_BM_out.80.fa",0.606
"3060794","11A_II_BM_out.107.fa","AD126III_FD_BM_out.44.fa",0.604
"3750718","11A_II_BM_out.107.fa","AD148III_FD_BM_out.49.fa",0.588
"3300074","11A_II_BM_out.107.fa","AD132III_FD_BM_out.123.fa",0.56
"1371876","11A_II_BM_out.107.fa","2AD52I_FD_BM_out.40.fa",0.504
"610169","11A_II_BM_out.108.fa","15A_II_BM_out.166.fa",0.768
"1080753","11A_II_BM_out.108.fa","17A_III_BM_out.83.fa",0.752
"1852431","11A_II_BM_out.108.fa","6A_II_BM_out.29.fa",0.752
"305087","11A_II_BM_out.108.fa","13A_III_BM_out.152.fa",0.712
"2622115","11A_II_BM_out.108.fa","9A_II_BM_out.3.fa",0.654
"2378847","11A_II_BM_out.108.fa","8A_II_BM_out.30.fa",0.64
"2113645","11A_II_BM_out.108.fa","7A_III_BM_out.2.fa",0.556
"3274153","11A_II_BM_out.108.fa","AD132III_FD_BM_out.103.fa",0.386
"3756701","11A_II_BM_out.108.fa","AD148III_FD_BM_out.58.fa",0.372
"2225310","11A_II_BM_out.109.fa","8A_II_BM_out.113.fa",0.758
"2027904","11A_II_BM_out.109.fa","7A_III_BM_out.160.fa",0.746
"336992","11A_II_BM_out.109.fa","13A_III_BM_out.16.fa",0.742
"1100694","11A_II_BM_out.109.fa","17A_III_BM_out.96.fa",0.74
"3776642","11A_II_BM_out.109.fa","AD148III_FD_BM_out.75.fa",0.738
"719840","11A_II_BM_out.109.fa","15A_II_BM_out.41.fa",0.736
"1537380","11A_II_BM_out.109.fa","2AD57I_FD_BM_out.96.fa",0.736
"2991006","11A_II_BM_out.109.fa","AD121II_FD_BM_out.91.fa",0.736
"3589206","11A_II_BM_out.109.fa","AD138III_FD_BM_out.37.fa",0.732
"2861396","11A_II_BM_out.109.fa","AD118III_FD_BM_out.8.fa",0.73
"1545356","11A_II_BM_out.109.fa","2AD61I_FD_BM_out.103.fa",0.72
"1216346","11A_II_BM_out.109.fa","2AD43II_FD_BM_out.87.fa",0.716
"3349926","11A_II_BM_out.109.fa","AD132III_FD_BM_out.45.fa",0.716
"2480542","11A_II_BM_out.109.fa","9A_II_BM_out.106.fa",0.71
"1772672","11A_II_BM_out.109.fa","6A_II_BM_out.162.fa",0.688
"3034874","11A_II_BM_out.109.fa","AD126III_FD_BM_out.27.fa",0.688
"1310064","11A_II_BM_out.109.fa","2AD48II_FD_BM_out.74.fa",0.68
"3256208","11A_II_BM_out.109.fa","AD128I_FD_BM_out.87.fa",0.634
"3824498","11A_II_BM_out.109.fa","AD152III_FD_BM_out.110.fa",0.412
"761716","11A_II_BM_out.110.fa","15A_II_BM_out.80.fa",0.396
"1333994","11A_II_BM_out.110.fa","2AD48II_FD_BM_out.93.fa",0.386
"1479556","11A_II_BM_out.110.fa","2AD57I_FD_BM_out.57.fa",0.382
"2996990","11A_II_BM_out.110.fa","AD121II_FD_BM_out.96.fa",0.378
"2821518","11A_II_BM_out.110.fa","AD118III_FD_BM_out.63.fa",0.36
"3052822","11A_II_BM_out.110.fa","AD126III_FD_BM_out.39.fa",0.356
"3363886","11A_II_BM_out.110.fa","AD132III_FD_BM_out.54.fa",0.356
"2181444","11A_II_BM_out.110.fa","7A_III_BM_out.76.fa",0.352
"1088732","11A_II_BM_out.110.fa","17A_III_BM_out.88.fa",0.35
"3224306","11A_II_BM_out.110.fa","AD128I_FD_BM_out.67.fa",0.346
"3792596","11A_II_BM_out.110.fa","AD148III_FD_BM_out.87.fa",0.346
"303096","11A_II_BM_out.110.fa","13A_III_BM_out.14.fa",0.344
"3896284","11A_II_BM_out.110.fa","AD152III_FD_BM_out.35.fa",0.344
"1692914","11A_II_BM_out.110.fa","6A_II_BM_out.107.fa",0.336
"3443646","11A_II_BM_out.110.fa","AD143II_FD_BM_out.19.fa",0.336
"1561310","11A_II_BM_out.110.fa","2AD61I_FD_BM_out.118.fa",0.332
"2325012","11A_II_BM_out.110.fa","8A_II_BM_out.193.fa",0.332
"2476556","11A_II_BM_out.110.fa","9A_II_BM_out.104.fa",0.328
"1130606","11A_II_BM_out.110.fa","2AD43II_FD_BM_out.23.fa",0.316
"460623","11A_II_BM_out.112.fa","13A_III_BM_out.55.fa",0.494
"839483","11A_II_BM_out.112.fa","17A_III_BM_out.144.fa",0.46
"554341","11A_II_BM_out.112.fa","15A_II_BM_out.120.fa",0.43
"3876345","11A_II_BM_out.112.fa","AD152III_FD_BM_out.20.fa",0.416
"3573257","11A_II_BM_out.112.fa","AD138III_FD_BM_out.26.fa",0.414
"3327995","11A_II_BM_out.112.fa","AD132III_FD_BM_out.32.fa",0.362
"2161505","11A_II_BM_out.112.fa","7A_III_BM_out.63.fa",0.316
"3154518","11A_II_BM_out.115.fa","AD128I_FD_BM_out.17.fa",0.68
"1320038","11A_II_BM_out.115.fa","2AD48II_FD_BM_out.80.fa",0.678
"2675958","11A_II_BM_out.115.fa","9A_II_BM_out.80.fa",0.676
"3347936","11A_II_BM_out.115.fa","AD132III_FD_BM_out.44.fa",0.662
"512468","11A_II_BM_out.115.fa","13A_III_BM_out.91.fa",0.66
"3864382","11A_II_BM_out.115.fa","AD152III_FD_BM_out.141.fa",0.648
"3106662","11A_II_BM_out.115.fa","AD126III_FD_BM_out.77.fa",0.646
"3714832","11A_II_BM_out.115.fa","AD148III_FD_BM_out.20.fa",0.644
"2859406","11A_II_BM_out.115.fa","AD118III_FD_BM_out.89.fa",0.638
"3457606","11A_II_BM_out.115.fa","AD143II_FD_BM_out.31.fa",0.638
"2981040","11A_II_BM_out.115.fa","AD121II_FD_BM_out.80.fa",0.636
"827520","11A_II_BM_out.115.fa","17A_III_BM_out.138.fa",0.62
"590234","11A_II_BM_out.115.fa","15A_II_BM_out.148.fa",0.61
"2197398","11A_II_BM_out.115.fa","7A_III_BM_out.92.fa",0.584
"1220338","11A_II_BM_out.115.fa","2AD43II_FD_BM_out.92.fa",0.582
"1908268","11A_II_BM_out.115.fa","6A_II_BM_out.81.fa",0.57
"2466588","11A_II_BM_out.115.fa","8A_II_BM_out.96.fa",0.542
"3617126","11A_II_BM_out.115.fa","AD138III_FD_BM_out.57.fa",0.484
"321045","11A_II_BM_out.116.fa","13A_III_BM_out.160.fa",0.682
"741779","11A_II_BM_out.116.fa","15A_II_BM_out.64.fa",0.65
"807581","11A_II_BM_out.116.fa","17A_III_BM_out.121.fa",0.564
"681960","11A_II_BM_out.120.fa","15A_II_BM_out.223.fa",0.972
"905288","11A_II_BM_out.120.fa","17A_III_BM_out.200.fa",0.964
"2909258","11A_II_BM_out.120.fa","AD121II_FD_BM_out.33.fa",0.91
