	AD_MAG_1	AD_MAG_2	JaccardIndex
11971	11A_II/BM_out.10.fa	11A_II/BM_out.10.fa	1
313065	11A_II/BM_out.10.fa	13A_III/BM_out.157.fa	0.78
1597201	11A_II/BM_out.10.fa	2AD61I_FD/BM_out.33.fa	0.736
2323017	11A_II/BM_out.10.fa	8A_II/BM_out.191.fa	0.758
2755715	11A_II/BM_out.10.fa	AD118III_FD/BM_out.157.fa	0.832
3754709	11A_II/BM_out.10.fa	AD148III_FD/BM_out.56.fa	0.788
3854409	11A_II/BM_out.10.fa	AD152III_FD/BM_out.134.fa	0.83
1	11A_II/BM_out.100.fa	11A_II/BM_out.100.fa	1
1750733	11A_II/BM_out.100.fa	6A_II/BM_out.143.fa	0.738
2386819	11A_II/BM_out.100.fa	8A_II/BM_out.38.fa	0.812
1996	11A_II/BM_out.104.fa	11A_II/BM_out.104.fa	1
319042	11A_II/BM_out.104.fa	13A_III/BM_out.15.fa	0.766
594214	11A_II/BM_out.104.fa	15A_II/BM_out.150.fa	0.764
789626	11A_II/BM_out.104.fa	17A_III/BM_out.107.fa	0.756
1192414	11A_II/BM_out.104.fa	2AD43II_FD/BM_out.69.fa	0.754
1292114	11A_II/BM_out.104.fa	2AD48II_FD/BM_out.61.fa	0.782
1509460	11A_II/BM_out.104.fa	2AD57I_FD/BM_out.77.fa	0.778
1581244	11A_II/BM_out.104.fa	2AD61I_FD/BM_out.19.fa	0.764
1916236	11A_II/BM_out.104.fa	6A_II/BM_out.85.fa	0.772
1982038	11A_II/BM_out.104.fa	7A_III/BM_out.125.fa	0.798
2412742	11A_II/BM_out.104.fa	8A_II/BM_out.57.fa	0.786
2632082	11A_II/BM_out.104.fa	9A_II/BM_out.48.fa	0.766
2787614	11A_II/BM_out.104.fa	AD118III_FD/BM_out.39.fa	0.746
2973056	11A_II/BM_out.104.fa	AD121II_FD/BM_out.77.fa	0.756
3024900	11A_II/BM_out.104.fa	AD126III_FD/BM_out.19.fa	0.772
3252216	11A_II/BM_out.104.fa	AD128I_FD/BM_out.84.fa	0.792
3415724	11A_II/BM_out.104.fa	AD132III_FD/BM_out.90.fa	0.748
3439652	11A_II/BM_out.104.fa	AD143II_FD/BM_out.15.fa	0.744
3708842	11A_II/BM_out.104.fa	AD148III_FD/BM_out.18.fa	0.766
3940146	11A_II/BM_out.104.fa	AD152III_FD/BM_out.7.fa	0.78
3991	11A_II/BM_out.105.fa	11A_II/BM_out.105.fa	1
5986	11A_II/BM_out.107.fa	11A_II/BM_out.107.fa	1
715850	11A_II/BM_out.107.fa	15A_II/BM_out.36.fa	0.716
3180434	11A_II/BM_out.107.fa	AD128I_FD/BM_out.34.fa	0.7
3948124	11A_II/BM_out.107.fa	AD152III_FD/BM_out.84.fa	0.71
7981	11A_II/BM_out.108.fa	11A_II/BM_out.108.fa	1
305087	11A_II/BM_out.108.fa	13A_III/BM_out.152.fa	0.712
610169	11A_II/BM_out.108.fa	15A_II/BM_out.166.fa	0.768
1080753	11A_II/BM_out.108.fa	17A_III/BM_out.83.fa	0.752
1852431	11A_II/BM_out.108.fa	6A_II/BM_out.29.fa	0.752
9976	11A_II/BM_out.109.fa	11A_II/BM_out.109.fa	1
336992	11A_II/BM_out.109.fa	13A_III/BM_out.16.fa	0.742
719840	11A_II/BM_out.109.fa	15A_II/BM_out.41.fa	0.736
1100694	11A_II/BM_out.109.fa	17A_III/BM_out.96.fa	0.74
1216346	11A_II/BM_out.109.fa	2AD43II_FD/BM_out.87.fa	0.716
1537380	11A_II/BM_out.109.fa	2AD57I_FD/BM_out.96.fa	0.736
